run,corner,temperature,vdd,gain_max,ugf,pm
run_00,ss,20,1.7,64.935,1.663e+07,63.969
run_01,tt,20,1.7,64.760,1.740e+07,64.451
run_02,ff,20,1.7,64.569,1.820e+07,64.927
run_03,fs,20,1.7,66.105,1.735e+07,64.211
run_04,sf,20,1.7,60.384,1.628e+07,64.123
run_05,ss,27,1.7,65.163,1.632e+07,64.030
run_06,tt,27,1.7,64.967,1.708e+07,64.532
run_07,ff,27,1.7,64.755,1.785e+07,65.026
run_08,fs,27,1.7,66.306,1.702e+07,64.277
run_09,sf,27,1.7,60.881,1.610e+07,64.212
run_10,ss,50,1.7,65.884,1.537e+07,64.161
run_11,tt,50,1.7,65.612,1.605e+07,64.724
run_12,ff,50,1.7,65.330,1.676e+07,65.277
run_13,fs,50,1.7,66.955,1.598e+07,64.427
run_14,sf,50,1.7,62.293,1.545e+07,64.509
run_15,ss,20,1.8,65.689,1.701e+07,64.317
run_16,tt,20,1.8,65.485,1.779e+07,64.767
run_17,ff,20,1.8,65.265,1.859e+07,65.210
run_18,fs,20,1.8,66.100,1.757e+07,64.407
run_19,sf,20,1.8,64.371,1.783e+07,65.057
run_20,ss,27,1.8,65.832,1.669e+07,64.369
run_21,tt,27,1.8,65.615,1.744e+07,64.839
run_22,ff,27,1.8,65.383,1.822e+07,65.302
run_23,fs,27,1.8,66.244,1.723e+07,64.477
run_24,sf,27,1.8,64.521,1.749e+07,65.140
run_25,ss,50,1.8,66.291,1.567e+07,64.475
run_26,tt,50,1.8,66.028,1.636e+07,65.009
run_27,ff,50,1.8,65.751,1.706e+07,65.532
run_28,fs,50,1.8,66.711,1.617e+07,64.643
run_29,sf,50,1.8,64.982,1.641e+07,65.340
run_30,ss,20,1.9,65.959,1.721e+07,64.491
run_31,tt,20,1.9,65.761,1.800e+07,64.920
run_32,ff,20,1.9,65.547,1.880e+07,65.341
run_33,fs,20,1.9,66.121,1.772e+07,64.565
run_34,sf,20,1.9,65.253,1.820e+07,65.327
run_35,ss,27,1.9,66.067,1.687e+07,64.546
run_36,tt,27,1.9,65.860,1.764e+07,64.996
run_37,ff,27,1.9,65.636,1.843e+07,65.436
run_38,fs,27,1.9,66.230,1.738e+07,64.640
run_39,sf,27,1.9,65.349,1.783e+07,65.401
run_40,ss,50,1.9,66.406,1.583e+07,64.662
run_41,tt,50,1.9,66.164,1.653e+07,65.177
run_42,ff,50,1.9,65.906,1.725e+07,65.680
run_43,fs,50,1.9,66.577,1.631e+07,64.820
run_44,sf,50,1.9,65.640,1.670e+07,65.578
