iteration,gain_max,ugf,pm
1,42.2231,13527600.0,70.091
2,49.1667,14475700.0,67.6441
3,59.7779,15219100.0,65.7324
4,65.438,16117800.0,65.1934
5,36.0963,10218900.0,69.8981
6,66.9834,16560700.0,65.0822
7,65.2134,15898800.0,65.1804
8,65.464,16174600.0,65.1713
9,41.5129,12175800.0,67.8659
10,48.5552,14138400.0,66.1615
11,46.2918,13476200.0,66.6047
12,65.9883,16543200.0,65.101
13,65.7816,16436200.0,65.1743
14,65.8027,16456800.0,65.1682
15,67.2161,16759400.0,65.029
16,40.3781,11763400.0,68.1366
17,64.7774,15865700.0,65.1327
18,67.3281,16593700.0,65.0679
19,60.8852,15333400.0,65.5311
20,67.6734,16773500.0,64.9987
21,39.1921,11360000.0,68.5295
22,47.9484,14360900.0,67.9866
23,64.1849,16156200.0,64.9119
24,50.0909,14411600.0,65.9397
25,65.6232,16407200.0,65.1843
26,65.5652,16362600.0,65.2185
27,67.5639,16651400.0,65.0013
28,43.7029,13887500.0,69.4276
29,67.7919,16594100.0,65.0481
30,57.0604,15444200.0,65.2959
31,55.1788,14950900.0,66.3231
32,66.5834,16607500.0,65.0715
33,65.5571,16370200.0,65.1555
34,42.5865,13797400.0,70.0144
35,50.4625,14482100.0,65.8668
36,64.8589,15740200.0,65.1866
37,61.8383,16003600.0,65.0013
38,47.7844,14353200.0,68.0253
39,66.5302,16601600.0,65.0717
40,68.281,16654500.0,64.9675
41,68.489,16663500.0,64.9743
42,42.9438,12575000.0,67.3083
43,67.7393,16602600.0,65.0196
44,65.3459,16189400.0,65.1849
45,48.2943,13967900.0,66.2584
